time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Concurrent GC.count,Jvm:G1 Concurrent GC.time,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2026-08-09 11:20:38.956 UTC, , , , , , , , , ,125,3159893,14040, , ,3, ,9, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1377,1,744,744,1, ,2,4,1427,53025300480,57,57,57,57, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1786274438160,,, , , , , , , , , ,3145728,1377,23,23,11,23, , , ,4,4,3,5, ,3,5, , , , , ,38,1, , , ,12288,3,1389,5, , , , ,2,14, , ,10,73,68964296,46, , , , , , ,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2026-08-09 11:20:39.145 UTC, , , , , , , , , ,589,3189725,43408, , ,5, ,42, , , , , , , , , ,5,5, , , , ,2,6, ,4, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,1427,53025300480,57,57,57,57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1786274438160,,, , , , , , , , , ,3145728,49904, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,1,11,40573472,46, , , , , , ,44, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,5,2,4, , , , , , , , , 
2026-08-09 11:20:39.278 UTC, , , , , , , , , ,125,3162621,16768, , ,3, ,30,3,0.10, , , , , , , ,3,3, ,2, ,2,1,4, ,27,13, , , , , , , , , , , , , ,52157,2, ,50165, , , , ,52204,53025173504,-1,-1,-1,-1, , , , , ,7,71, , , , , , , , , , , , , , , , , , , , , , , , , ,52204,1786274439199,,, , , , , , , , , ,3145728,52157, , , , , , ,21, , ,2, , ,3, , ,21, ,2048,1, , , , , ,203590,44, , , , , , ,2,14, , ,11,84,55253536,46, , , , , , ,21, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2026-08-09 11:20:39.361 UTC, , , , , , , , , ,589,3196365,50048, , ,7, ,38,2,0.05, , , , , , , ,7,7, , , ,3,4,8, ,35,21, , , , , , , , , , , , , ,52157,2, ,50165, , , , ,52204,53025173504,27,27,27,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,52204,1786274439199,,, , , , , , , , , ,3145728,52689, , , , , , ,25, , ,1, , ,3, , ,25,1, , , , , , , ,22842,26, , , , , , , , , , , , ,63642144,46, , , , , , ,60, , , ,2, , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, , ,3,2, ,1,1, , , , , , , 
2026-08-09 11:20:39.437 UTC, , , , , , , , , ,125,3164677,18824, , ,3, ,32,3,0.09, , , , , , , ,3,3, ,2, ,2,1,4, ,31,16, , , , , , , , , , , , , ,53669,3, ,52886, , , , ,53716,53025165312,27,27,27,27, , , , , ,7,89, , , , , , , , , , , , , , , , , , , , , , , , , ,53716,1786274439389,,, , , , , , , , , ,3145728,53669, , , , , , ,24, , ,2, , ,3, , ,24, ,2048,1, , , , , ,203883,47, , , , , , ,2,14, , ,11,84,75176480,46, , , , , , ,24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2026-08-09 11:20:39.456 UTC, , , , , , , , , ,589,3196229,49912, , ,7, ,41,4,0.10, , , , , , , ,7,7, , , ,3,3,9, ,37,19, , , , , , , , , , , , , ,53669,3, ,52886, , , , ,53716,53025165312,27,27,27,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,53716,1786274439389,,, , , , , , , , , ,3145728,53900, , , , , , ,27, , ,1, , ,3, , ,27,1, , , , , , , ,30837,28, , , , , , , , , , , , ,76225056,46, , , , , , ,56, , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , ,5,1,1, ,1, , , , , , , 
2026-08-09 11:20:39.527 UTC, , , , , , , , , ,125,3168077,22112,112, ,4,1,35,3,0.09, , , , , , , ,4,4, ,2,1,2,2,4, ,35,18, , , , , , , , , , , , , ,55160,4, ,54128, , , , ,55207,53025140736,27,27,27,27, , , , , ,7,105, , , , , , , , , , , , , , , , , , , , , , , , , ,55207,1786274439479,,, , , , , , , , , ,3145728,55160, , , , , , ,28, , ,3, , ,3, , ,28,1,2048,1, , , , , ,212250,52, , , , , , ,2,14, , ,11,84,87759392,46, , , , , , ,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2026-08-09 11:20:39.548 UTC, , , , , , , , , ,125,3189861,44008, , ,5, ,31,2,0.06, , , , , , , ,5,5, , , ,3,2,6, ,31,18, , , , , , , , , , , , , ,55160,4, ,54128, , , , ,55207,53025140736,27,27,27,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,55207,1786274439479,,, , , , , , , , , ,3145728,55160, , , , , , ,21, , , , , ,3, , ,21,1, , , , , , , ,16424,21, , , , , , , , , , , , ,91953696,46, , , , , , ,46, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , 
2026-08-09 11:20:39.606 UTC, , , , , , , , , ,125,3178869,32904,112, ,4,1,35,4,0.11, , , , , , , ,4,4, ,2,1,2,1,5, ,36,19, , , , , , , , , , , , , ,55160,4, ,54128, , , , ,55207,53025222656,27,27,27,27, , , , , ,7,105, , , , , , , , , , , , , , , , , , , , , , , , , ,55207,1786274439559,,, , , , , , , , , ,3145728,55160, , , , , , ,27, , ,3, , ,3, , ,27,1,2048,1, , , , , ,222948,49, , , , , , ,2,14, , ,12,103,23027072,46, , , , , , ,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , 
2026-08-09 11:20:39.632 UTC, , , , , , , , , ,589,3208533,62216, , ,11, ,67,1,0.01, , , , , , , ,11,11, , , ,3,7,13, ,42,17, , , , , , , , , , , , , ,55160,4, ,54128, , , , ,55207,53025222656,27,27,27,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,55207,1786274439559,,, , , , , , , , , ,3145728,56813, , , , , , ,22, , , , , ,3, , ,22,1, , , , , , , ,5726,24, , , , , , , , , , , , ,24075648,46, , , , , , ,90, , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,1, ,5, , ,14,5,3,2,8,1,6,2, , , , 
